Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category	Order Item ID
405-7901415-5945129	06-Oct-2025	21-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	13371810924732	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-911	21-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	69602876735451
406-3438554-3457163	11-Oct-2025	21-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364319877518	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-971	27-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	64554409255451
404-5212570-1334718	09-Oct-2025	20-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	 	 	Seller	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	488.04	1	 	 	 	 	 	 	Automotive	59849048643003
402-6232074-2313955	05-Oct-2025	19-Oct-2025	Approved	DdzGNXJ9RRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514779633883	Seller	N	N	B0FB447JP8	EN-GARMENT-STEAMER-FBM	Encasify Garment Steamer Dust-Proof Cover – Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	IN-890	27-Oct-2025	471.38	1	 	 	 	 	 	481.00	Kitchen	36599349569979
405-1878686-3713925	03-Oct-2025	18-Oct-2025	Approved	DnfHNhJ0RRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514778321453	Seller	N	N	B0FRGFQSWW	G6-Y5CH-EHL1	Encasify Massage Chair Cover - Full Body Protector for Massage Chair - Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material (Silver)	1	AMZ-PG-MISORDERED	Y	Amazon CS	RefundAtFirstScan	IN-861	25-Oct-2025	979.02	1	 	 	 	 	 	999.00	Home	44504673513123
405-6495944-0533167	05-Oct-2025	17-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364112470602	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-888	24-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	49444517971019
403-7322663-8981169	05-Oct-2025	16-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364112469026	Not Computed	N	N	B0FB447JP8	EN-GARMENT-STEAMER-FBM	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-880	21-Oct-2025	 	 	 	 	 	 	 	 	Kitchen	23552053036115
402-5652531-8989924	05-Oct-2025	15-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364112468975	Not Computed	N	N	B0FB447JP8	EN-GARMENT-STEAMER-FBM	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-889	21-Oct-2025	 	 	 	 	 	 	 	 	Kitchen	01214784858635
408-0732926-4033168	08-Oct-2025	15-Oct-2025	Approved	Dm1WRLJRRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	168010084561	Seller	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	IN-932	01-Nov-2025	 	1	 	 	 	 	 	 	Automotive	22943205575051
408-5582689-1944365	08-Oct-2025	15-Oct-2025	Approved	Dc2HR7J8RRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	14931203871010	Seller	N	N	B0FQBVHKNT	EN-SPARE-TYRE-30IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-30in)	1	CR-DEFECTIVE	Y	C-Returns	Replacement	IN-935	18-Oct-2025	463.54	1	 	 	 	 	 	 	Automotive	54521246068659
