amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba 
403-7695735-9581159		2025-10-10T17:53:54+00:00	2025-10-17T09:21:42+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	EN-EMC-BLK-COVER-FBM	B0DQ4S1HBD	Shipped	1	INR	1043.1	48.68					19.87		NEW DELHI	DELHI	110058	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	false			false
404-2443501-6421144	404-2443501-6421144	2025-10-10T17:20:58+00:00	2025-10-11T03:45:56+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0								VYTHIRI	KERALA	673592	IN		false			false
403-7902387-1783512		2025-10-10T15:05:38+00:00	2025-10-19T05:49:19+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	EN-EMC-BLK-COVER-FBM	B0DQ4S1HBD	Shipped	1	INR	1043.1	48.68					19.87		KOLKATA	WEST BENGAL	700030	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	false			false
403-2042131-8155542		2025-10-10T14:06:10+00:00	2025-10-17T06:02:53+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	EN-GARMENT-STEAMER-FBM	B0FB447JP8	Shipped	1	INR	481.0	22.9							NEW DELHI	DELHI	110083	IN		false			false
404-9594832-4357139	404-9594832-4357139	2025-10-10T13:54:54+00:00	2025-10-12T21:41:27+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Black Portable Power Station Cover - Durable, Dust & Scratch Proof, Washable Nylon - Fits Most Stations	PK-FUO0-YYEG	B0DV9GXQNG	Shipped	1	INR	365.97								NAMSAI	ARUNACHAL PRADESH	792103	IN		false			false
404-6163741-5374729		2025-10-10T13:44:29+00:00	2025-10-17T07:36:55+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	EN-GARMENT-STEAMER-FBM	B0FB447JP8	Shipped	1	INR	481.0	22.44					9.16		NEW DELHI	DELHI	110032	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	false			false
404-7806422-1553115		2025-10-10T10:39:00+00:00	2025-10-18T04:54:40+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Massage Chair - Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material (Silver)	G6-Y5CH-EHL1	B0FRGFQSWW	Shipped	1	INR	999.0	46.62					19.03		TOHANA	HARYANA	125120	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	false			false
408-6466089-1558755	408-6466089-1558755	2025-10-10T09:42:26+00:00	2025-10-16T12:23:24+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Upliance AI Cooking Assistant Cover | Dust and Waterproof Washable suitble for Upliance AI Cooking Assistant | Nylon Material | Black	EN-AI-COOK-BLK-COVER	B0DPCLX5NX	Shipped	1	INR	389.0								Indore .scheme no114.vijaynagar	MADHYA PRADESH	452010	IN		false			false
404-9721394-3733929	404-9721394-3733929	2025-10-10T07:29:43+00:00	2025-10-11T05:46:22+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0						21.98		BHATAPARA	CHHATTISGARH	493118	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	false			false
402-3392740-2625165	402-3392740-2625165	2025-10-10T07:23:14+00:00	2025-10-13T12:02:51+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify DTF/Subimation Printing Machine Cover for 15x15 | Print Digits Heat Press Machine Cover | Sublimation Machines Cover | DTF Cover | Dust Proof	EN-BL-DTF-15-15	B0DP6VJS5C	Shipped	1	INR	441.0		40.0				8.82	40.0	BIHARSHARIF	BIHAR	803101	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	false			false
403-9251276-0588306	403-9251276-0588306	2025-10-10T07:20:31+00:00	2025-10-10T11:13:50+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Air Cooler Cover | Bajaj PX97 Torque 36L Personal Air Cooler Cover | Polyster | Black (36 ltr)	EN-AIR-COOLER-36LTR-COVER	B0F2YWM2LX	Shipped	1	INR	385.97						7.72		NEW DELHI	DELHI	110017	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	false			false
402-5039457-6324351		2025-10-10T07:01:22+00:00	2025-10-13T05:39:13+00:00	Cancelled	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Mounted Speaker Cover - Water-Resistant Protective Dust Cover for Stand-Mounted Speakers - (Speaker & Stand Not Included) - Black (Black, 12 INCH)	EN-M-SPEAKER-12-IN-FBM	B0F5QSYMNN		0	INR	617.14	30.86							NEW DELHI	DELHI	110028	IN		false			false
406-6626773-6488312		2025-10-10T06:50:50+00:00	2025-10-30T05:28:04+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Massage Chair - Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material (Silver)	G6-Y5CH-EHL1	B0FRGFQSWW	Shipped	1	INR	989.01	46.16					18.84		PUNE	MAHARASHTRA	411016	IN	PLM-2ab1aba5-04e5-4e20-b45a-8fff02a6dfde	true		Business Price	false
171-9379902-2113157		2025-10-10T05:34:44+00:00	2025-10-17T17:07:02+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	EN-GARMENT-STEAMER-FBM	B0FB447JP8	Shipped	1	INR	481.0	22.9							Mumbai	MAHARASHTRA	400052	IN		false			false
407-8934969-8173127		2025-10-10T05:27:09+00:00	2025-10-16T08:58:45+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	EN-GARMENT-STEAMER-FBM	B0FB447JP8	Shipped	1	INR	481.0	22.9							GANDHIDHAM	GUJARAT	370201	IN		false			false
404-3700786-8745145		2025-10-10T05:19:39+00:00	2025-10-20T04:03:47+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	EN-EMC-BLK-COVER-FBM	B0DQ4S1HBD	Shipped	1	INR	1043.1	49.67							RANCHI	JHARKHAND	834003	IN		false			false
